X,Y,PAI,icon_url
16.5503989563134,38.7423003405672,PUNTO ATTENZIONE,./0.png
16.5471561683989,38.7437101894778,PUNTO ATTENZIONE,./0.png
16.5427339149,38.7438820738334,PUNTO ATTENZIONE,./0.png
16.5292577646476,38.7421365279029,PUNTO ATTENZIONE,./0.png
16.5450497436704,38.7334950344278,PUNTO ATTENZIONE,./0.png
16.146245740248,38.9767751247919,PUNTO ATTENZIONE,./0.png
16.1487081068078,38.9775262388207,PUNTO ATTENZIONE,./0.png
16.1504030619003,38.9777647697077,PUNTO ATTENZIONE,./0.png
16.1480449597775,38.9713166108116,PUNTO ATTENZIONE,./0.png
16.1490277813043,38.9716904578831,PUNTO ATTENZIONE,./0.png
16.1508716757667,38.9724241023164,PUNTO ATTENZIONE,./0.png
16.1556953532043,38.9746934063403,PUNTO ATTENZIONE,./0.png
16.1553669606791,38.9765975942781,PUNTO ATTENZIONE,./0.png
16.1567034302792,38.9776146417995,PUNTO ATTENZIONE,./0.png
16.1590796842056,38.978914237155,PUNTO ATTENZIONE,./0.png
16.1610202818576,38.9769421161323,PUNTO ATTENZIONE,./0.png
16.1569712314512,38.9750424806194,PUNTO ATTENZIONE,./0.png
16.1574880152941,38.9752297011166,PUNTO ATTENZIONE,./0.png
16.154030152244,38.9796327700594,PUNTO ATTENZIONE,./0.png
16.1576292510266,38.9831313219861,PUNTO ATTENZIONE,./0.png
16.4846770864762,38.6511482277191,PUNTO ATTENZIONE,./0.png
16.4850218097753,38.650276336947,PUNTO ATTENZIONE,./0.png
16.4856622424169,38.6507572333158,PUNTO ATTENZIONE,./0.png
16.4854178191752,38.6505346526262,PUNTO ATTENZIONE,./0.png
16.4892438968606,38.6536030641843,PUNTO ATTENZIONE,./0.png
16.4832153274575,38.6467575763685,PUNTO ATTENZIONE,./0.png
16.504931419852,38.7384776002952,PUNTO ATTENZIONE,./0.png
16.5048971760629,38.7387309307698,PUNTO ATTENZIONE,./0.png
16.5037146084748,38.7407847635278,PUNTO ATTENZIONE,./0.png
16.5242982607859,38.6667602352689,PUNTO ATTENZIONE,./0.png
16.5249599694082,38.6665091671051,PUNTO ATTENZIONE,./0.png
16.5196547065585,38.6673882585563,PUNTO ATTENZIONE,./0.png
16.522983740811,38.667969206847,PUNTO ATTENZIONE,./0.png
16.0009088004895,38.2796032965766,PUNTO ATTENZIONE,./0.png
15.9366450373218,38.2514496151253,PUNTO ATTENZIONE,./0.png
15.9137461194069,38.2331202238073,PUNTO ATTENZIONE,./0.png
15.9166653329615,38.2374841887405,PUNTO ATTENZIONE,./0.png
15.9168522492665,38.2369125487519,PUNTO ATTENZIONE,./0.png
15.9169980749897,38.2362727502213,PUNTO ATTENZIONE,./0.png
15.915134545382,38.2349675378601,PUNTO ATTENZIONE,./0.png
15.9166170078787,38.2352410592426,PUNTO ATTENZIONE,./0.png
16.2081306548135,38.211642325266,PUNTO ATTENZIONE,./0.png
16.2070117051954,38.2123990757942,PUNTO ATTENZIONE,./0.png
16.0731181323561,38.4013006637467,PUNTO ATTENZIONE,./0.png
16.0756505578618,38.3996338295794,PUNTO ATTENZIONE,./0.png
16.0813792037557,38.3976534067115,PUNTO ATTENZIONE,./0.png
16.9630670354232,39.2166271251337,PUNTO ATTENZIONE,./0.png
17.0177896654204,39.2141864295746,PUNTO ATTENZIONE,./0.png
16.0069070452346,38.610686335891,PUNTO ATTENZIONE,./0.png
16.0168352027581,38.6090542149572,PUNTO ATTENZIONE,./0.png
15.9976970909499,38.5967541321353,PUNTO ATTENZIONE,./0.png
16.0007907115755,38.5950604447683,PUNTO ATTENZIONE,./0.png
16.0039338543204,38.5934181476917,PUNTO ATTENZIONE,./0.png
16.2115641818738,38.629663171439,PUNTO ATTENZIONE,./0.png
16.6313407383856,38.8617168701967,PUNTO ATTENZIONE,./0.png
16.6486541334103,38.8502442279787,PUNTO ATTENZIONE,./0.png
16.635456974833,38.8682796913157,PUNTO ATTENZIONE,./0.png
16.6348010492136,38.8742723418914,PUNTO ATTENZIONE,./0.png
16.6272978458017,38.8874795683029,PUNTO ATTENZIONE,./0.png
16.6259998826764,38.8970930481759,PUNTO ATTENZIONE,./0.png
16.6261058356875,38.8984491243723,PUNTO ATTENZIONE,./0.png
16.4547674800835,40.0413976024926,PUNTO ATTENZIONE,./0.png
15.662175974829,38.1228961127202,PUNTO ATTENZIONE,./0.png
16.4089326337613,38.9055683806201,PUNTO ATTENZIONE,./0.png
16.3810161260203,38.8748110137143,PUNTO ATTENZIONE,./0.png
16.385678022263,38.8747033481527,PUNTO ATTENZIONE,./0.png
16.3385610295106,38.8858622150121,PUNTO ATTENZIONE,./0.png
16.3421551171466,38.8715392396837,PUNTO ATTENZIONE,./0.png
16.3020880957947,38.8859030434571,PUNTO ATTENZIONE,./0.png
16.3375182397147,38.8456507739235,PUNTO ATTENZIONE,./0.png
16.3413597511879,38.8458105948418,PUNTO ATTENZIONE,./0.png
16.0497438539295,39.3013403393642,PUNTO ATTENZIONE,./0.png
16.0511267846508,39.3016740671443,PUNTO ATTENZIONE,./0.png
16.1845316534344,38.6078269159887,PUNTO ATTENZIONE,./0.png
16.1543810456342,38.6734578466057,PUNTO ATTENZIONE,./0.png
16.1585072268661,38.6236277851435,PUNTO ATTENZIONE,./0.png
16.1671932048043,38.632848000946,PUNTO ATTENZIONE,./0.png
16.1676339880577,38.5792788711521,PUNTO ATTENZIONE,./0.png
16.2196335976602,38.5874063077228,PUNTO ATTENZIONE,./0.png
16.2363601295889,38.5666635197139,PUNTO ATTENZIONE,./0.png
15.8883435668613,37.9286064049544,PUNTO ATTENZIONE,./0.png
15.8903942920176,37.9729101671121,PUNTO ATTENZIONE,./0.png
15.8788723027488,37.9866658105832,PUNTO ATTENZIONE,./0.png
15.8679320151688,37.9297948052887,PUNTO ATTENZIONE,./0.png
15.8714277348509,37.929858897864,PUNTO ATTENZIONE,./0.png
15.8710935448574,37.9280398152407,PUNTO ATTENZIONE,./0.png
15.8733476907099,37.9930303110098,PUNTO ATTENZIONE,./0.png
15.8703564651922,38.0024157142583,PUNTO ATTENZIONE,./0.png
15.8647916627513,38.0012502213086,PUNTO ATTENZIONE,./0.png
16.0631873262031,38.3429544172113,PUNTO ATTENZIONE,./0.png
16.0656406532865,38.3980555196303,PUNTO ATTENZIONE,./0.png
16.0423084171017,38.4413635976869,PUNTO ATTENZIONE,./0.png
16.0759486796927,38.3881731383407,PUNTO ATTENZIONE,./0.png
16.252513076245,39.3278982338822,PUNTO ATTENZIONE,./0.png
16.2416320273079,39.3182160775619,PUNTO ATTENZIONE,./0.png
16.2365352817556,39.3141134898868,PUNTO ATTENZIONE,./0.png
17.0521511406266,39.4383366897358,PUNTO ATTENZIONE,./0.png
16.0429785384318,38.6139943713934,PUNTO ATTENZIONE,./0.png
16.0327364932518,38.6154984968333,PUNTO ATTENZIONE,./0.png
16.0327364932518,38.6154984968333,PUNTO ATTENZIONE,./0.png
16.2489733955361,38.9131391648371,PUNTO ATTENZIONE,./0.png
16.2884707136081,38.8989104268808,PUNTO ATTENZIONE,./0.png
16.2843028476383,38.8953190683034,PUNTO ATTENZIONE,./0.png
16.2991619009677,38.8478365000344,PUNTO ATTENZIONE,./0.png
16.2854821968473,38.8257797119452,PUNTO ATTENZIONE,./0.png
16.3810671622165,38.6614792047194,PUNTO ATTENZIONE,./0.png
16.5199407280444,38.9004905411992,PUNTO ATTENZIONE,./0.png
16.5157154253096,38.9031670997234,PUNTO ATTENZIONE,./0.png
